"ID","Language","Concept","Definition","See","See also","Source","Input/Edit"
1,"English","Access point","A name, term, code, etc., through which bibliographic or authority data is searched and identified.",,"Additional access point [NT], Authorized access point [NT], Controlled access point [NT], Essential access point [NT], Name [RT], Uncontrolled access point [NT], Variant form of name [NT]","GARR modified per FRAD and IME ICC",20090805
2,"Albanian","Pikë hyrëse","Emër, term, kod etj., përmes të cilit kërkohen dhe identifikohen të dhënat bibliografike ose ato të termave të njësuar.",,"Emër [RT], Pikë hyrëse e autorizuar [NT], Pikë hyrëse e kontrolluar [NT], Pikë hyrëse e pakontrolluar [NT], Pikë hyrëse kryesore [NT], Pikë hyrëse shtesë [NT], Variant i formës së emrit [NT]","GARR modifikuar nga FRAD dhe IME ICC",20090811
3,"Arabic","نقطة الوصول","نقطة الوصول – اسم، مصطلح، رمز، الخ، والتي من خلالها يتم الاسترجاع والتعرف على تسجيلة ببليوغرافية أو استنادية أو إحالة مرجعية.",,"نقطة الوصول الإضافية[NT] ،  نقطة الوصول المقننة [NT]،  نقطة الوصول المضبوطة  [NT]،  نقطة الوصول الأساسية [NT]،  اسم[RT] ، نقطة الوصول غير المضبوطة[NT]، نقطة الوصول المختلفة  [NT] 
",,20090805
4,"Bulgarian","Точка за достъп","Име, наименование, термин, код и др., чрез които се търси и открива библиографски или контролен запис.",,"Допълнителна точка за достъп [НТ], Установена точка за достъп [НТ], Контролирана точка за достъп[НТ], Основна точка за достъп [НТ], Име (наименование) [А], Неконтролирана точка за достъп [НТ], Вариантна форма на име (наименование) [НТ]","GARR с промените от FRAD и IME ICC",20100809
5,"Catalan","Punt d’accés","Nom, terme, codi, etc. per mitjà del qual se cerquen i s’identifiquen dades bibliogràfiques i d’autoritat.",,"Forma variant del nom [TE], Nom [TR], Punt d’accés addicional [TE], Punt d’accés autoritzat [TE], Punt d’accés controlat [TE], Punt d’accés essencial [TE], Punt d’accés no controlat [TE]","GARR modificat per FRAD i IME ICC",20100809
6,"Chinese","检索点","用以检索和识别书目数据或规范数据的一个名称、术语、代码等。",,"附加检索点 [NT]，规范检索点 [NT]，受控检索点 [NT]，基本检索点[NT]，名称 [RT]，非受控检索点 [NT]，名称的变异形式 [NT]

","GARR，据FRAD与IME ICC修改",20090805
7,"Croatian","Pristupnica","Ime, naziv, kod itd. pod kojim će se pronaći i identificirati bibliografski ili autorizirani podaci.",,"Dodatna pristupnica [UP], Ime [SP], Nadzirana pristupnica [UP], Nenadzirana pristupnica [UP], Neophodna pristupnica [UP], Neusvojeni oblik imena [UP], Usvojena pristupnica [UP]","GARR preradili FRAD i IME ICC",20090812
8,"Czech","Selekční údaj","jméno, termín, kód atd., jejichž prostřednictvím je bibliografický či autoritní údaj vyhledán a identifikován.",,"Doplňkový selekční údaj [NT], Autorizovaný selekční údaj [NT], Řízený selekční údaj [NT], Základní selekční údaj [NT], Jméno [RT], Neřízený selekční údaj [NT], Variantní forma jména [NT]","GARR modifikovaný ve FRAD a IME ICC",20090812
9,"Finnish","Hakutieto","Nimi, termi, koodi yms., jonka avulla bibliografinen tai auktoriteettitietue voidaan etsiä ja identifioida.",,"Lisätty hakutieto  [ST], Auktorisoitu hakutieto [ST], Kontrolloitu hakutieto [ST], Ensisijainen hakutieto [ST], Nimi [RT], Kontrolloimaton hakutieto [ST], Nimen varianttimuoto [ST]","GARR, muunneltuna FRADin ja IME ICCn mukaan",20100809
10,"French","Point d'accès","Nom, terme, code, etc., sous lequel des données bibliographiques ou d'autorité sont recherchées et identifiées.",,"Nom [TA], Point d'accès autorisé [TS], Point d'accès contrôlé [TS], Point d'accès essentiel [TS], Point d'accès non contrôlé [TS], Point d'accès supplémentaire [TS], Variante de forme du nom [TS]","GARR modifiée par FRAD, et IME ICC",20090805
